EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5178184,W SUMMIT T NW/SE SALT LAKE/WASATCH X SC/E UTAH/P X E JUAB/X NW SAN PETE (ZONE), ,01/11/2000,1000,Avalanche, , ,2,0,0,0,UT,MST, ,1105829,Z,8,SLC,0,0,PARK/FOREST SERVICE, , , , , , , , ,01/11/2000,1030, , , , ,"Two skiers were killed in a large avalanche in the backcountry near The Canyons ski resort. The slide from Square Top Peak was estimated to be near 500 feet wide and 5 feet deep, with a vertical drop of 1000 feet. The couple, a man and a woman, were discovered the next day by a search team.","",1
5126858,E KING/E PIERCE/E LEWIS (ZONE), ,01/16/2000,1330,Avalanche, , ,1,0,0,0,WA,PST, ,1090273,Z,18,SEW,0,0,NEWSPAPER, , , , , , , , ,01/16/2000,1330, , , , ,"A man died when he hiked into a closed area of a ski resort and was buried in an avalanche.","",2
5126859,C&E WHATCOM/E SKAGIT/E SNOHMISH (ZONE), ,01/19/2000,1200,Avalanche, , ,0,1,0,0,WA,PST, ,1090274,Z,17,SEW,0,0,NEWSPAPER, , , , , , , , ,01/19/2000,1200, , , , ,"A snowboarder who went out of the ski area boundary was caught in an avalanche and suffered a broken leg and a compression fracture of his back.","",3
5127676,UPPER SNAKE HIGHLANDS (ZONE), ,01/22/2000,1500,Avalanche, , ,0,1,1000,0,ID,MST, ,2414761,Z,19,PIH,0,0,NEWSPAPER, , , , , , , , ,01/22/2000,1500, , , , ,"A snowmobiler triggered an avalanche after riding up a steep mountain slope.  The victim was quickly rescued by other snowmobilers, but still required hospitilization in intensive care.","",4
5130840,GORE AND ELK MOUNTAINS/CENTRAL MOUNTAIN VALLEYS/ASPEN AND VICINITY / NE S EAGLE / PITKIN EXCEPT XNC / X NE MESA / SE GARFIELD (PART) (ZONE), ,01/24/2000,2100,Avalanche, , ,0,0,0,0,CO,MST, ,1090738,Z,10,GJT,0,0,BROADCAST MEDIA, , , , , , , , ,01/24/2000,2100, , , , ,"","An avalanche blocked a section of the westbound lanes on Interstate 70.  I-70 westbound was closed for about two hours as snow 3 to 5 feet deep was removed from the road.",5
5130839,GORE AND ELK MOUNTAINS/CENTRAL MOUNTAIN VALLEYS/ASPEN AND VICINITY (ZONE), ,01/25/2000,1700,Avalanche, , ,1,0,0,0,CO,MST, ,1090737,Z,10,GJT,0,0,NEWSPAPER, , , , , , , , ,01/25/2000,1700, , , , ,"","A cross-country skier was caught in an avalanche which occurred in Hurricane Gulch, about 5 miles south of Aspen.  the avalanche was 120 feet wide and 150 feet long.  The victim was found about two hours later buried under six feet of snow and debris.  The avalanche was a result of recent heavy wet snowfall on an old icy snowpack which resulted in a weak snow layer.",6
5127590,CENTRAL GULF COAST (ZONE), ,01/26/2000,950,Avalanche, , ,1,1,500000,0,AK,AST, ,1090322,Z,17,AFC,0,0,BROADCAST MEDIA, , , , , , , , ,01/26/2000,950, , , , ,"Avalanche was reported at 5.5 mile on the road from the community of Cordova to the airport.  The avalanche obliterated 4 homes and 1 warehouse.  In one of the homes, two individuals were buried, one recovered after nearly 6 hours, the other deceased.  The community suffered successive heavy snows and strong winds in the days preceding the avalanche.","",7
5132005,COOK INLET (ZONE), ,02/01/2000,0,Avalanche, , ,0,0,0,0,AK,AST, ,1091148,Z,15,AFC,0,0,EMERGENCY MANAGER, , , , , , , , ,02/08/2000,0, , , , ,"","In addition to already reported avalanches which caused death, these avalanches caused significant inconvenience, transportation interruption and considerable expense in cleaning up.

	Milepost (MP) 18 and 49 Seward Highway.  Highway closed.
	MP 20 and 51 Richardson Highway.  Highway closed.
	MP 8 Old Glenn Highway.  Highway closed.
	MP 46 Sterling Highway.  Highway closed.
	MP 5 Eklutna Lake Road. Road closed.
	Alaska Railroad closed from Anchorage to Seward.
	Power transmission lines down along the Seward Highway.  Commercial power out in the communities of Whittier, Hope, Portage, Girdwood and Seward.",8
5132007,SUSITNA VALLEY (ZONE), ,02/01/2000,0,Avalanche, , ,0,0,0,0,AK,AST, ,1091148,Z,13,AFC,0,0,EMERGENCY MANAGER, , , , , , , , ,02/08/2000,0, , , , ,"","In addition to already reported avalanches which caused death, these avalanches caused significant inconvenience, transportation interruption and considerable expense in cleaning up.

	Milepost (MP) 18 and 49 Seward Highway.  Highway closed.
	MP 20 and 51 Richardson Highway.  Highway closed.
	MP 8 Old Glenn Highway.  Highway closed.
	MP 46 Sterling Highway.  Highway closed.
	MP 5 Eklutna Lake Road. Road closed.
	Alaska Railroad closed from Anchorage to Seward.
	Power transmission lines down along the Seward Highway.  Commercial power out in the communities of Whittier, Hope, Portage, Girdwood and Seward.",9
5132006,CENTRAL GULF COAST (ZONE), ,02/01/2000,0,Avalanche, , ,0,0,0,0,AK,AST, ,1091148,Z,17,AFC,0,0,EMERGENCY MANAGER, , , , , , , , ,02/08/2000,0, , , , ,"","In addition to already reported avalanches which caused death, these avalanches caused significant inconvenience, transportation interruption and considerable expense in cleaning up.

	Milepost (MP) 18 and 49 Seward Highway.  Highway closed.
	MP 20 and 51 Richardson Highway.  Highway closed.
	MP 8 Old Glenn Highway.  Highway closed.
	MP 46 Sterling Highway.  Highway closed.
	MP 5 Eklutna Lake Road. Road closed.
	Alaska Railroad closed from Anchorage to Seward.
	Power transmission lines down along the Seward Highway.  Commercial power out in the communities of Whittier, Hope, Portage, Girdwood and Seward.",10
